index,nom_agence,ville,email,site_web,domaine,confiance_actuelle
844,Stella Immobilier: Home,Ajaccio,stella.immobilier.ltd@gmail.com,https://www.stellaimmobilier.com/,stellaimmobilier.com,MOYENNE
942,Accueil-France,,virginie@frenchlivin.com,https://www.frenchlivin.com/,frenchlivin.com,MOYENNE
1002,La Brie Immobilière | Agence Immobilière depuis 1969 | LA ...,Rubelles,villecresnes@labrieimmobiliere.fr,https://www.labrieimmobiliere.fr/,labrieimmobiliere.fr,MOYENNE
1072,Hopsore Immobilier: Agence immobilière Pontoise,Pontoise,agence@hopsoreimmobilier.com,https://www.hopsoreimmobilier.com/,hopsoreimmobilier.com,MOYENNE
1102,FS IMMOBILIER St leu la foret,Saint Leu,agence@fsimmobilier.com,https://www.fsimmobilier.com/,fsimmobilier.com,MOYENNE
1271,Agence immobilière Azurimmo,Voisins,contact@azurimmo78.fr,https://azurimmo78.fr/fr/mentions-legales,azurimmo78.fr,MOYENNE
2111,L'équipe - Home Collection,Beaumont,contact@home-collection.fr,https://www.home-collection.fr/l-equipe,home-collection.fr,MOYENNE
2113,SUPER HOME Immobilier,Le Merlan,contact@superhome.fr,https://www.superhome.fr/,superhome.fr,MOYENNE
2219,Otim Immobilier,Notre Dame,mthier@otim.immo,https://www.otimimmobilier.com/,otimimmobilier.com,MOYENNE
2221,Saint-Michel Immobilier: Agence immobilière sur Evreux en ...,Monteux,contact@saint-michel-immobilier.com,https://www.saintmichel-immobilier.com/,saintmichel-immobilier.com,MOYENNE
2227,Pauquet immobilier: Agence immobilière,Marseille Patricia Pauquet Immobilier,gestion@pauquetimmo.com,https://pauquetimmo.com/,pauquetimmo.com,MOYENNE
2297,La Clef Immobilière: Agence immobilière Nice St Roch,Nice,agence@laclefimmobiliere.com,https://www.laclefimmobiliere.com/,laclefimmobiliere.com,MOYENNE
2592,Agence immobilière Cannes | Gaïa Immobilier,Cannes,contact@gaiaimmobilier.com,https://www.gaiaimmobilier.com/,gaiaimmobilier.com,MOYENNE
2973,"Alis, l'agence immobilière sociale",Toulouse,contact@alis.immo,https://metropole.toulouse.fr/actualites/alis-lagence-immobiliere-sociale,metropole.toulouse.fr,MOYENNE
2988,Immobilière Tolosane: Agence immobilière Toulouse 31,Toulouse,contact@immo-tolosane.fr,https://www.immo-tolosane.fr/,immo-tolosane.fr,MOYENNE
3016,immo-va.fr,Sarlat-La Canéda,contact@immo-va.fr,https://www.immo-va.fr/,immo-va.fr,MOYENNE
3160,Leone Réseau Immobilier,Oullins,leone.immobilier@gmail.com,https://www.leone-immobilier.fr/,leone-immobilier.fr,MOYENNE
3236,"Omega Immobilier, agence immobilière Alès",Alès,contact@omegaimmobilier.fr,https://www.omegaimmobilier.fr/,omegaimmobilier.fr,MOYENNE
3313,La société | Agora immobilier,Seysses,agoraimmo@wanadoo.fr,https://www.agoraimmo.eu/la-societe,agoraimmo.eu,MOYENNE
3364,Ma gestion locative - Lille,Lille,gestion@immobiliere-duvieuxlille.fr,https://www.immobiliere-duvieuxlille.com/gestion-locative/,immobiliere-duvieuxlille.com,MOYENNE
3388,Éric Franques Immobilier - Agence immobilière à La Madeleine,La Madeleine,lamadeleine@eric-franques.com,https://www.eric-franques.com/,eric-franques.com,MOYENNE
3390,Sereino Immobilier,Villeneuve,contact@sereino.fr,https://sereino.fr/,sereino.fr,MOYENNE
3478,L'AGENCE DU VILLAGE Villeneuve les sablons: Expert en ...,Villeneuve,contact@agvillage.fr,https://www.agvillage.fr/,agvillage.fr,MOYENNE
3605,Espace locataire,,crc@domial.fr,https://www.domial.fr/espace-locataire.html,domial.fr,MOYENNE
3699,Loralis immobilier: Agence immobilière Mulhouse,Baldersheim,loralis@sfr.fr,https://www.loralis.fr/,loralis.fr,MOYENNE
3743,ASTRAL IMMOBILIER,Riedisheim,alexandre@astral-immobilier.fr,https://www.biens-astral-immobilier.fr/,biens-astral-immobilier.fr,MOYENNE
3916,Acces Immobilier: Agence immobilière Limoges,Limoges,audrey.m@accesimmobilier.com,https://www.accesimmobilier.com/,accesimmobilier.com,MOYENNE
3989,Agence immobilière à La Rochelle (17) - Agence des 4 Sergents,La Rochelle,4sergents@wanadoo.fr,https://www.agence4sergents.net/agence/16622___/agence-des-4-sergents.html,agence4sergents.net,MOYENNE
4314,Annonces immobilières | Accès Libre,Angers,acceslibre.immo@gmail.com,https://acceslibre-immo.fr/annonces-immobilieres/,acceslibre-immo.fr,MOYENNE
61,Notre équipe | IM2B IMMOBILIER,,sandra.beckrich@im2b-immobilier.fr,https://www.im2b-immobilier.fr/content/2/notre-equipe.html,im2b-immobilier.fr,MOYENNE
249,Quartiers Parisiens,Neuilly,contact@quartiersparisiens.fr,https://www.quartiersparisiens.fr/,quartiersparisiens.fr,MOYENNE
437,Contact – Emilie Transactions Immobilières,Mailing,contact@ectimmo.com,https://ectimmo.com/contact/,ectimmo.com,MOYENNE
490,Els'a Home Immobilier sur mesure,Paris,info@elsahome.fr,https://www.elsahome.fr/,elsahome.fr,MOYENNE
657,JF Meyer Immobilier,Pompey,contact@jfmeyerimmobilier.com,https://www.jfmeyerimmobilier.com/,jfmeyerimmobilier.com,MOYENNE
727,Cabinet Mansart - Immobilier à Versailles,Versailles,contact@cabinetmansart.com,https://www.cabinetmansart.com/,cabinetmansart.com,MOYENNE
983,Authentique Agency: Agence immobilière Margencel,Thonon,contact@authentique-agency.com,https://www.authentique-agency.com/,authentique-agency.com,MOYENNE
1154,Pandora Immobilier: Agence immobilière Vincennes,Vincennes,agence.immobiliere@pandora-immobilier.com,https://www.pandora-immobilier.com/,pandora-immobilier.com,MOYENNE
1217,Kernel Immobilier: Agence immobilière Gonesse,Gonesse,contact@kernel-immobilier.fr,https://www.kernel-immobilier.fr/,kernel-immobilier.fr,MOYENNE
1552,Eden Immobilier: Agence immobilière Dreux,Dreux,dreux@eden-immo.fr,https://www.eden-immo.fr/,eden-immo.fr,MOYENNE
1996,RAFFI Laurent,Bourg,lraffi@viager-responsable.fr,https://www.viager-responsable.fr/conseiller/raffi-laurent/,viager-responsable.fr,MOYENNE
2038,Realp Immobilier: Agence immobilière Cordon,Cordon Horaires,contact@realp-immobilier.com,https://www.realp-immobilier.com/,realp-immobilier.com,MOYENNE
2166,Agence immobilière Cholet - Ô cœur de l'immo,Gradignan,rb@ocoeurdelimmo.fr,https://ocoeurdelimmo.immo/notre-agence/,ocoeurdelimmo.immo,MOYENNE
2716,Saint Pierre Immobilier: Agence immobilière Cagnes-sur-Mer,Toulouse,agence@saintpierreimmobilier.fr,https://www.saintpierreimmobilier.fr/,saintpierreimmobilier.fr,MOYENNE
2869,"Open Immo, l'immobilier à Golfe Juan, Vallauris, Juan Les ...",Le Golfe Juan,contact@open-immo.com,https://www.open-immo.com/,open-immo.com,MOYENNE
2911,florence-properties.fr,,info@florence-properties.fr,https://florence-properties.fr/,florence-properties.fr,MOYENNE
3129,Maison 87 | Agence immobilière à Nîmes et dans le Gard,Nîmes,contact@maison87.com,https://www.maison87.com/,maison87.com,MOYENNE
3339,Informations sur l'agence,Lille,contact@itineraireimmobilier.com,http://www.itineraireimmobilier.com/infos.php,itineraireimmobilier.com,MOYENNE
3460,Liste de vos conseillers - Immobilier à France,France,pascal@imoconseil.com,https://www.imoconseil.com/fr/conseillers,imoconseil.com,MOYENNE
3510,Acta Immobilier: Agence immobilière Douai,,acta.immobilier@orange.fr,https://www.actaimmobilier.fr/,actaimmobilier.fr,MOYENNE
3549,Site institutionnel d'Orange,,cominvest@orange.fr,https://www.orange.com/fr,orange.com,MOYENNE
3716,Professionnels - Concept Immobilier en Alsace,,contact@domeimmoconcept.com,https://www.domeimmoconcept.com/professionnels-agence/,domeimmoconcept.com,MOYENNE
3770,Agence immobilière Sébastien Immobilier à Troyes,Troyes,troyes@sebastien-immobilier.com,https://www.sebastien-immobilier-troyes.com/,sebastien-immobilier-troyes.com,MOYENNE
3892,"Société ECHEVESTE IMMOBILIER : Chiffre d'affaires, ...",Bordeaux,contact@echeveste-immobilier.fr,https://www.pappers.fr/entreprise/echeveste-immobilier-834934358,pappers.fr,MOYENNE
4099,Portes Immobilier: Agence immobilière Biarritz,Biarritz,agence@portes-immobilier.fr,https://www.portesimmobilier.com/,portesimmobilier.com,MOYENNE
4142,Syndic de copropriété,La Teste,contact@bonnotimmo.fr,https://www.bonnotimmo.fr/syndic,bonnotimmo.fr,MOYENNE
4188,Le Cabinet Charentais - L'agence immobilière de Charente ...,Rochefort,contact@lecabinetcharentais.fr,https://lecabinetcharentais.fr/,lecabinetcharentais.fr,MOYENNE
4204,AD Immo 17: Agence immobilière Rochefort,Rochefort,agence@adimmo17.fr,https://www.adimmo17.fr/,adimmo17.fr,MOYENNE
4301,VMIMMO: Agence immobilière Orvault,Orvault,contact@vmimmo.fr,https://www.vmimmo.fr/,vmimmo.fr,MOYENNE
4408,Nord Loire Transactions: Agence immobilière La Chapelle-sur ...,La Chapelle,contact@proprietesauborddeleau.com,https://www.nord-loire-transactions.com/,nord-loire-transactions.com,MOYENNE
4450,GAUDIN IMMOBILIER Guérande: Agence Immobilière ...,,agence@gaudin-immobilier.fr,https://www.gaudin-immobilier.fr/,gaudin-immobilier.fr,MOYENNE
4463,Immobilier Rouen – Saint Marc | Agence SMI-SMG,Rouen Depuis,agence@smi-smg.fr,https://agence-smismg.fr/,agence-smismg.fr,MOYENNE
4545,Klicc,Valmont,info@klicc.fr,https://www.klicc.fr/,klicc.fr,MOYENNE
4679,Immobilier Ancien,Orléans,contact@my-orleans.immo,https://my-orleans.immo/ancien,my-orleans.immo,MOYENNE
41,Maximum rent,Paris,info@eiffel-housing.com,https://eiffel-housing.com/en/,eiffel-housing.com,MOYENNE
317,Belmont Properties – Agence immobilière à Paris,Paris,paris16@belmont-immobilier.com,https://belmontproperties.fr/,belmontproperties.fr,MOYENNE
486,Domus Rome: Administrateur de biens,Paris,contact@domusrome.fr,https://www.domusrome.fr/,domusrome.fr,MOYENNE
586,Biens à vendre,Confiez,myriam@happyfewimmobilier.com,https://www.happyfewimmobilier.com/projects-8,happyfewimmobilier.com,MOYENNE
687,Agence immobilière à Rueil-Malmaison - L'immobilier Côte à ...,Rueil-Malmaison Tél,rf@limmobiliercoteacote.com,https://www.limmobiliercoteacote.com/,limmobiliercoteacote.com,MOYENNE
778,Selection d'annonces avec Pierre Immo,Picquigny,pierre.immo@orange.fr,https://www.pierre-immobilier.fr/selection.html,pierre-immobilier.fr,MOYENNE
803,Agences Latour: Agence immobilière Dreux,Dreux,dreux@agence-latour.fr,https://www.agence-latour.fr/,agence-latour.fr,MOYENNE
820,Groupe ACE,Nice,nice@groupeace.fr,https://www.groupeace.fr/,groupeace.fr,MOYENNE
1009,L'agence immobilière de Buc et Jouy en Josas,Buc,immobiliere-de-buc@wanadoo.fr,https://www.ibj.fr/content/1/.html,ibj.fr,MOYENNE
1026,London Immobilier: Agence immobilière Versailles,Versailles Tél,info@london-immobilier.com,https://www.london-immobilier.com/,london-immobilier.com,MOYENNE
1083,Casa Immobilier: Agence immobilière Drancy,Drancy,contact@casaimmobilier.fr,https://www.casa-immobilier.fr/,casa-immobilier.fr,MOYENNE
1351,La Cible Immobilière: Agence immobilière Aix-les-Bains,Aix,lacible.immo@orange.fr,https://www.lacibleimmobiliere.com/,lacibleimmobiliere.com,MOYENNE
1369,immobilier | DPJS CONSEILS Immobilier Étampes,Etampes,agence@dpjs.fr,https://www.dpjs-conseils.fr/,dpjs-conseils.fr,MOYENNE
1509,Renovation,Paris Accueil,contact@oraimmobilier.fr,https://oraimmobilier.fr/en/renovation/,oraimmobilier.fr,MOYENNE
1540,Lyon régie – Lyon régie,,accueil@lyonregie.com,https://www.lyon-regie.com/,lyon-regie.com,MOYENNE
1572,PRIVILEGE Immobilier & Conseil: Agence immobilière de ...,,r.adi@privilegeimmoconseil.com,https://www.privilegeimmoconseil.com/,privilegeimmoconseil.com,MOYENNE
1647,Lena Immobilier: Agence immobilière Hendaye,Hendaye,agence@lena-immobilier.com,https://www.lena-immobilier.com/,lena-immobilier.com,MOYENNE
1757,Aliquis Conseil - Gestion de patrimoine - France,Paris,contact@aliquis-conseil.com,https://www.leadersleague.com/fr/firm/profinance-gestion-privee/france-1/gestion-de-patrimoine,leadersleague.com,MOYENNE
1764,Falchetto Immobilier: Agence immobilière Saint-Léon,Jaligny,contact@falchetto-immobilier.com,https://www.falchetto-immobilier.com/,falchetto-immobilier.com,MOYENNE
1847,Léana Combier chasseur immobilier | Chasseur immobilier ...,,chasseurimmo@leanacombier.fr,https://www.leanacombier.fr/,leanacombier.fr,MOYENNE
1897,Pôle Immobilier – Agence immobilière Vienne,Jardin,agence.poleimmobilier38@gmail.com,https://www.pole-immobilier38.com/en/,pole-immobilier38.com,MOYENNE
2181,immobilier | TERRE BLEUE IMMOBILIER La ciotat,,terre-bleue.immobilier@wanadoo.fr,https://www.terrebleueimmobilier.com/,terrebleueimmobilier.com,MOYENNE
2318,Liberty Agency: Agence immobilière Nice,Nice,contact@agence-liberty.com,https://www.agence-liberty.com/,agence-liberty.com,MOYENNE
2384,SUD AZUR: Agence immobilière Solliès-Ville,,info@sudazur.net,https://www.sudazur.net/,sudazur.net,MOYENNE
2425,Bec Capron Immobilier: Agence immobilière Aix-en-Provence,Aix,info@bec-capron.com,https://www.bec-capron.com/,bec-capron.com,MOYENNE
2443,Cabinet Landrieve: Agence immobilière Montluçon,Montluçon,contact@cabinet-landrieve.com,https://www.cabinet-landrieve.com/,cabinet-landrieve.com,MOYENNE
2788,Agence 13 Immobilier: Agence immobilière MIRAMAS,Orange,agence13immobilier@orange.fr,https://www.agence-13-immobilier.com/,agence-13-immobilier.com,MOYENNE
2793,Agence immobilière Ciotat : CHAB IMMOBILIER,,chabimmobilier@gmail.com,https://www.power-immo.com/agence-immobiliere-ciotat.html,power-immo.com,MOYENNE
2801,Bouygues Immobilier | Programmes d'immobilier neuf et d ...,,bassu.immo@bbox.fr,https://www.bouygues-immobilier.com/,bouygues-immobilier.com,MOYENNE
2841,Agence immobilière Menton | L & SO,Menton,agence@lnso.fr,https://www.lnso.fr/,lnso.fr,MOYENNE
2878,"Real Immobilier 06, agence immobilière Vence",Vence,nuno.desalemos@realimmo06.com,https://www.realimmo06.com/,realimmo06.com,MOYENNE
2897,"Real Immobilier 06, agence immobilière Vence",Vence,nuno.desalemos@realimmo06.com,https://www.realimmo06.com/,realimmo06.com,MOYENNE
3048,Hortus Immobilier - Revente Immobilier - Gestion Immobilier ...,Jacou Tél,contact@hortusimmobilier.com,https://www.hortusimmobilier.com/,hortusimmobilier.com,MOYENNE
3067,Mon compte - ARTEMIS SOLUTIONS IMMOBILIERES,,syndic@artemisimmo.com,https://www.artemisimmo.com/profil/,artemisimmo.com,MOYENNE
3079,#ITIS IMMO - ITIS IMMO,Montpellier,contact@itisimmo.fr,http://itisimmo.fr/,itisimmo.fr,MOYENNE
3128,Nos biens,,contact@maisonbazin.fr,https://www.maisonbazin.fr/nos-biens/,maisonbazin.fr,MOYENNE
3454,Société J.C.L. IMMOBILIER,Bergues,contact@jcl-immobilier.com,https://www.pappers.fr/entreprise/jcl-immobilier-939936720,pappers.fr,MOYENNE
3464,Leucci Immobilier: Agence immobilière Dunkerque,Dunkerque,leucci-immobilier@orange.fr,https://www.leucci-immobilier.com/,leucci-immobilier.com,MOYENNE
3504,Agence Pauchet: Agence immobilière Boulogne-sur-Mer,Boulogne,boulogne@agencepauchet.com,https://www.agencepauchet.com/,agencepauchet.com,MOYENNE
3551,La Flamande Immobilier - Agence immobilière à Wallon-Cappel,Immobilier,contact@laflamande.fr,https://www.laflamande.fr/,laflamande.fr,MOYENNE
3576,CEGIP,Strasbourg Votre Expert Immobilier,cegip@cegip.fr,https://cegip.fr/,cegip.fr,MOYENNE
3651,KAB IMMOBILIER: Agence immobilière Metz,Metz,contact@kab-immobilier.fr,https://www.kab-immobilier.fr/,kab-immobilier.fr,MOYENNE
3868,Notre mission : Vous accompagner dans votre projet immobilier,Bordeaux,contact@bordelaisedelimmobilier.fr,https://bordelaisedelimmobilier.fr/fr/,bordelaisedelimmobilier.fr,MOYENNE
4190,Bouygues Immobilier | Programmes d'immobilier neuf et d ...,Le Bouscat,galerieimmo@bbox.fr,https://www.bouygues-immobilier.com/,bouygues-immobilier.com,MOYENNE
4255,Iparralde Immobilier,Hendaye,iparralde@iparralde-immobilier.fr,https://iparralde-immobilier.fr/,iparralde-immobilier.fr,MOYENNE
4632,"Agence immobilière IMMOPROST | Achat, Vente, Location",Le Creusot Immoprost,agence@immoprost.com,https://www.immoprost.com/,immoprost.com,MOYENNE
83,Agence Baronnai,Poissy Agence Baronnai,agence@baronnai.fr,https://www.baronnai.fr/,baronnai.fr,MOYENNE
160,Notre équipe,,damien@auburtin-immo.com,https://www.auburtin-immo.com/equipe/,auburtin-immo.com,MOYENNE
214,Altura: Agence immobilière Paris 6,Mac,contact@alturaparis.com,https://www.alturaparis.com/,alturaparis.com,MOYENNE
252,Découvrez notre agence immobilière,Grimaud,contact@trianon-immo.eu,https://www.trianon-immo.eu/fr/page/3/a-propos,trianon-immo.eu,MOYENNE
273,Les Chasseurs de Paname — Agent immobilier à Paris 5e,Phone,contact@leschasseursdepaname.com,https://www.kontakts.pro/site/les-chasseurs-de-paname,kontakts.pro,MOYENNE
457,Cocoon-Immo | Communication digitale pour l'immobilier,,hello@cocoon-immo.io,https://www.cocoon-immo.io/,cocoon-immo.io,MOYENNE
505,"Loreto, Agence immobiliere paris 6",Collioure,immo@loretoimmobilier.com,https://www.loretoimmobilier.com/,loretoimmobilier.com,MOYENNE
950,Agence GTI 92,,gti92@wanadoo.fr,https://www.gti92.com/,gti92.com,MOYENNE
975,Créteil Vajou Immobilier | L'agence immobilière #1 à Créteil,Creteil,cvi@immo-creteil.fr,https://creteil-immobilier.fr/,creteil-immobilier.fr,MOYENNE
1010,immobilier | ESPACES 111,Lanton,esoulabaille@espaces111.fr,https://www.espaces111.fr/,espaces111.fr,MOYENNE
1049,JCI IMMOBILIER,Enghien,jc@jci-immobilier.fr,https://www.jci-immobilier.fr/,jci-immobilier.fr,MOYENNE
1082,Notre equipe,,contact@riazhome-immo.com,https://www.riazhome-immo.com/content/3/notre-equipe.html,riazhome-immo.com,MOYENNE
1111,Notre équipe,,abut@astraimmobilier.com,https://www.astraimmobilier.com/content/3/notre-equipe.html,astraimmobilier.com,MOYENNE
1144,Agence immobilière Périgueux | Monceau Patrimoine ...,Mussidan,contact@mapepiteimmo.fr,https://www.mapepiteimmo.fr/,mapepiteimmo.fr,MOYENNE
1296,Agence immobilière Lesage à Vernon,Vernon,agence.lesage@orange.fr,https://www.lesage-immobilier-vernon.com/,lesage-immobilier-vernon.com,MOYENNE
1343,L`AGENCE DE SUCY immobiliersucy.fr SUCY-EN-BRIE Val ...,Sucy,agence@sucyimmobilier.fr,https://www.immobiliersucy.fr/,immobiliersucy.fr,MOYENNE
1355,Notre équipe,Villeneuve,c.boussaha@krysimmo.com,https://www.krysimmo.com/content/2/notre-equipe.html,krysimmo.com,MOYENNE
1516,Notre équipe,,contact@gedira.fr,https://www.gedira.fr/content/1/notre-equipe.html,gedira.fr,MOYENNE
1576,Notre équipe,,n.lopez@homeneuf.com,https://www.homeneuf.com/notre-equipe,homeneuf.com,MOYENNE
1765,Sablon Immobilier: Agence immobilière Aubière,Aubière,sablonimmobilier@orange.fr,https://www.sablonimmobilier.fr/,sablonimmobilier.fr,MOYENNE
1769,Notre équipe,,fp@aia-immo.com,https://www.aia-immo.com/equipe,aia-immo.com,MOYENNE
1776,Notre équipe,,raphael@caroli-immo.com,https://www.caroli-immo.com/equipe/,caroli-immo.com,MOYENNE
1857,Agence immobilière Montoison | L & N Immobilier,Montoison,contact@l-n-immobilier.fr,https://www.l-n-immobilier.fr/,l-n-immobilier.fr,MOYENNE
1899,Notre équipe,Vagney,brigitte@immodesvallees.com,https://www.immodesvallees.com/content/9/notre-equipe.html,immodesvallees.com,MOYENNE
2034,Notre équipe,Cluses Padilla Immobilier,contact@padilla-immobilier.fr,https://www.padilla-immobilier.fr/content/2/notre-equipe.html,padilla-immobilier.fr,MOYENNE
2260,Agences immobilières à Beaulieu sur mer et Villefranche sur ...,Beaulieu,contact@np-lr.com,https://www.nicolaspisani.com/,nicolaspisani.com,MOYENNE
2263,Agences immobilières à Beaulieu sur mer et Villefranche sur ...,Beaulieu,contact@np-lr.com,https://www.nicolaspisani.com/,nicolaspisani.com,MOYENNE
2280,Notre équipe,Nice France,stephanie@marcele-immobilier.fr,https://www.marcele-immobilier.fr/notre-equipe/,marcele-immobilier.fr,MOYENNE
2325,Riviera Réalisation Immobilier,Antibes,philippe@rivieraantibes.com,https://rivieraantibes.com/en/,rivieraantibes.com,MOYENNE
2343,Agence PUCCETTI,Vence,info@agencepuccetti.com,https://www.agencepuccetti.com/,agencepuccetti.com,MOYENNE
2400,Notre équipe,Hyères,contact@victoriaponel.com,https://www.victoria-immobilier.com/equipe/,victoria-immobilier.com,MOYENNE
2437,IMMOBILIER RESIDENTIEL Barème d'honoraires (TTC*),Roanne,contact@lyaudetdrajnudel.fr,https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/316693.pdf,media.immo-facile.com,MOYENNE
2441,Accueil | L'agence - Gestions et transactions immobilières,Saint-Chamond,lagenceliberte@orange.fr,https://www.lagence-saintchamond.fr/,lagence-saintchamond.fr,MOYENNE
2459,Agence immobilière Hyères | L'Agence,Hyères,contactlagencehyeres@gmail.com,https://www.lagencehyeres.com/,lagencehyeres.com,MOYENNE
2507,AB2J Immobilier – Agence Immobilière à Avignon,Avignon,contact@ab2j-gestion.fr,https://www.ab2j-immobilier.fr/,ab2j-immobilier.fr,MOYENNE
2585,Agence Rocamare - Agence Immobilière à Cannes,France,realestate@rocamare.fr,https://www.agence-rocamare.com/,agence-rocamare.com,MOYENNE
2670,Agence immobilière Hyères | L'Agence,Hyères,contactlagencehyeres@gmail.com,https://www.lagencehyeres.com/,lagencehyeres.com,MOYENNE
2761,Notre équipe,Martigues,tiphaine.martiguesimmobilier@gmail.com,https://www.martiguesimmobilier.fr/agence,martiguesimmobilier.fr,MOYENNE
2853,Gleim,La Garde,contact@gleim.fr,https://www.gleim.fr/,gleim.fr,MOYENNE
2970,Notre équipe,Castelginest,delyaimmobilier@gmail.com,https://www.delyaimmo.com/equipes/,delyaimmo.com,MOYENNE
3043,Celleneuve Immobilier: Agence immobilière Montpellier,Montpellier,gestion@celleneuveimmobilier.fr,https://www.celleneuveimmobilier.fr/,celleneuveimmobilier.fr,MOYENNE
3059,Marboutin Immobilier: Agence immobilière Marmande et ...,Casteljaloux,castel@marboutin-immo.com,https://www.marboutin-immo.com/,marboutin-immo.com,MOYENNE
3091,Cmp Immobilier: Agence immobilière Lattes,Lattes,contact@cmp-immobilier.com,https://www.cmp-immobilier.com/,cmp-immobilier.com,MOYENNE
3093,Notre équipe | HOME SWeeT HOME Immobiliers,,romain.rousselot@hsh-immo.com,https://www.homesweethome-immobilier.com/content/5/notre-equipe.html,homesweethome-immobilier.com,MOYENNE
3112,Cabinet Agir: Cabinet immobilier à Nîmes,Nîmes,transaction@cabinetagir.com,https://www.cabinetagir.com/,cabinetagir.com,MOYENNE
3154,Notre équipe,Lyon,christophe.avon@homicca.fr,https://www.homicca.fr/equipe,homicca.fr,MOYENNE
3190,David Immobilier: Agence immobilière Montblanc,Montblanc,davidimmobilier@davidimmobilier.fr,https://www.davidimmobilier.fr/,davidimmobilier.fr,MOYENNE
3272,Agence Foch: Agence immobilière Tarbes,Pont,contact@agencefochimmobilier.fr,https://www.agencefochimmobilier.fr/,agencefochimmobilier.fr,MOYENNE
3302,Estimation immobilière gratuite,Rodez,immocentre12@gmail.com,https://www.immocentre12.com/estimation,immocentre12.com,MOYENNE
3335,Agence immobilière à Auch et L'Isle-Jourdain | RÉEL ...,Auch,agence@reelimmobilier.com,https://www.reelimmobilier.com/,reelimmobilier.com,MOYENNE
3360,Notre equipe,Tel,contact@nalvarro-immo.fr,https://www.nalvarro-immobilier.com/notre-equipe/,nalvarro-immobilier.com,MOYENNE
3671,ID Immobilier: Agence immobilière Metz,Metz,pdibacco@id-immobilier.com,https://www.id-immobilier.com/,id-immobilier.com,MOYENNE
3698,Guillaume Immobilier | Immobilier professionnel & Bail ...,Metz,pg@guillaumeimmobilier.fr,https://www.guillaumeimmobilier.fr/,guillaumeimmobilier.fr,MOYENNE
3797,Agence immobilière IMM'HOME,Thionville France,contact@imm-home.fr,https://imm-home.fr/fr/contact,imm-home.fr,MOYENNE
3851,L'immobilier à Bordeaux par Éléonore Paillard,Bordeaux,epaillard@bienetbienimmobilier.com,https://www.bienetbienimmobilier.com/contactez-nous/,bienetbienimmobilier.com,MOYENNE
3987,AGENCE PRINCIPALE La Rochelle,La Rochelle Agence Principale,larochelle@agenceprincipale.com,https://www.agenceprincipale.com/agence/285369___/agence-principale-la-rochelle.html,agenceprincipale.com,MOYENNE
4215,"NOUVEAU, Mer & Golf Gestion",Hendaye,immo@meretgolf-gestion.com,https://www.meretgolf.com/521-meretgolf-gestion.html,meretgolf.com,MOYENNE
4365,VIVRE AUX SABLES - Agence Immobilière Les ...,Téléphoner,contact@vivre-aux-sables.com,https://www.ouestfrance-immo.com/annuaire-immobilier/agence-immobiliere-85-17138.htm,ouestfrance-immo.com,MOYENNE
4573,Gravelin Immo: Agence immobilière Dijon,Immo,marion@gravelin-immo.com,https://www.gravelin-immo.com/,gravelin-immo.com,MOYENNE
4584,Letondal immobilier : agence immobilière à Besançon,Besançon,contact@letondal-immobilier.com,https://www.letondal-immobilier.com/,letondal-immobilier.com,MOYENNE
4,La Bonne Agence votre agence immobilière à paris,Grenoble,contact@la-bonne-agence.com,https://la-bonne-agence.com/index.php/contact/,la-bonne-agence.com,MOYENNE
55,Ariana Immobilier: Agence immobilière Paris 14,Bienvenue,contact@ariana-immobilier.com,https://www.ariana-immobilier.com/,ariana-immobilier.com,MOYENNE
145,Immo Premiere Sàrl,,contact@immopremiere.lu,https://www.immopremiere.lu/,immopremiere.lu,MOYENNE
269,Acheter - Immobilier | Agence L'appartement,,info@agencelappartement.com,https://www.agencelappartement.com/acheter,agencelappartement.com,MOYENNE
389,C&M IMMO: Agence immobilière Illzach,Illzach,info@cmimmo.net,https://www.cmimmo.net/,cmimmo.net,MOYENNE
421,Immobilier Saint Didier Paris 16 | Vente et Gestion immobilière,,immobiliersaintdidier@gmail.com,https://www.immobiliersaintdidier.com/,immobiliersaintdidier.com,MOYENNE
738,Immo2-0,,christo@immo2-0.com,https://immo2-0.com/,immo2-0.com,MOYENNE
785,Romain Pères - Pères et Fils Immobilier,Boulogne-Billancourt,romain@peresetfilsimmobilier.fr,https://fr.linkedin.com/in/romain-peres,fr.linkedin.com,MOYENNE
897,Sybille Jost : VALORIAL,,sybillejost@valorial.fr,https://www.pappers.fr/dirigeant/sybille_jost_1966-04,pappers.fr,MOYENNE
1043,Nos locations,,info@agenceterrasse.com,https://www.agenceterrasse.com/annonces/transaction/location.html,agenceterrasse.com,MOYENNE
1053,KAM IMMO Lieusaint: immobilier,Son,contact@kamimmo.com,https://www.kamimmo.com/,kamimmo.com,MOYENNE
1059,AG Gestion: Accueil,Saint Maur,contact@ag-gestion.fr,https://ag-gestion.fr/,ag-gestion.fr,MOYENNE
1091,Immobilier à Meaux 77100 - Orpi Agence du Palais,Meaux Orpi Agence,agencedupalais@orpi.com,https://www.orpi.com/agence-dupalais/,orpi.com,MOYENNE
1114,Syndic De Copropriété | Avantages Immobilier | Noisy-le-Grand,Noisy,contact@avantage-immobilier.fr,https://www.avantagesimmobilier.fr/,avantagesimmobilier.fr,MOYENNE
